ticker,NAME,CIE_DES,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
023530 KS,LOTTE SHOPPING CO,"Lotte Shopping Co., Ltd. operates department stores and discount stores in South Korea. The Company retails clothing, household goods, foods, and other items through several branches. Lotte Shopping also operates supermarkets and movie theaters.",Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
024110 KS,INDUSTRIAL BANK OF KOREA,"Industrial Bank of Korea(IBK) is a policy bank providing development finance and related banking services to support small and medium-sized enterprises in Korea. The Bank provides loans, discount bills, trade finance, deposits, foreign exchange, and payment guarantees. The company also offers services such as credit cards, insurance and smart-phone banking.",Financials,Banks,Banks,Diversified Banks
026960 KS,DONGSUH COMPANIES INC,"Dongsuh Companies Inc. imports, manufactures, processes, markets and distributes general food products such as vegetable cooking oils. The Company also produces packaging materials and ceramic products including food and oil containers. Dongsuh has a cooperative relationship with Kraft Foods Inc.",Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Distributors
028050 KS,SAMSUNG ENGINEERING CO LTD,"Samsung Engineering Co., Ltd. provides engineering construction and project management services in the domestic and international markets. The Company constructs refinery plants, petrochemical plants, gas plants, hydrocarbon upstream, power plants, metallurgy plant, industrial plants, and water treatment facilities.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
028260 KS,SAMSUNG C&T CORP,"Samsung C&T Corporation conducts diversified business support services and resort operation activities. The Company offers a range of services in areas including clothing retail, construction, energy, real estate, food service, and resort accommodations. Samsung C&T also operates a resort with amusement rides, a zoo, water park, golf clubs, and restaurants.",Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
028670 KS,PAN OCEAN CO LTD,"Pan Ocean Co., Ltd. is a shipping company that provides bulk carrier services. The Company operates a fleet consisting of bulkers , tankers , container ships,  Liquefied Natural Gas(LNG) Container and transports cargos including iron ore, coal, grain, and lumber.",Industrials,Transportation,Marine Transportation,Marine Transportation
029780 KS,SAMSUNG CARD CO,"Samsung Card Co., Ltd. offers credit card services such as issuing cards, one time payments, installments, and cash advance services. The Company also provides other financial services such as leasing and loan services.",Financials,Financial Services,Consumer Finance,Consumer Finance
030000 KS,CHEIL WORLDWIDE INC,"Cheil Worldwide Inc. provides a wide range of marketing services such as new product development and advertisement, brand management, advertising budget analysis, and advertising effectiveness evaluation.  The Company also creates, prints, publishes, and produces promotional and advertising materials.",Communication Services,Media & Entertainment,Media,Advertising
030200 KS,KT CORP,"KT Corporation operates as an integrated telecom and digital platform service provider. The Company offers principal services include mobile, Broadband, IPTV, B2B communications and fixed-line telephony. KT also through subsidiaries operates media content production, financial, real estate development and commerce.",Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
031430 KS,SHINSEGAE INTERNATIONAL INC,Shinsegae International Inc was spun off from Shinsegae in 1996.  The company imports and distributes famous foreign brands and manufactures/distribut es domestic brand.  The Company's line of business includes the wholesale distribution of men's and women's apparel.,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
032350 KS,LOTTE TOUR DEVELOPMENT CO LT,"Lotte Tour Development Co., Ltd. provides various tour package service. The Company franchises travel agencies, offers home-based travel businesses, and provides leisure-travel information.  The Company also engages in property development and building management and operates duty-free shop business.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
032640 KS,LG UPLUS CORP,"LG Uplus Corp., an affiliate of LG Group, provides a wide range of personal communications services (PCS) using code division multiple access (CDMA) technology.  The Company offers call forwarding, call and data transfer, call waiting, voice mail, Internet-phone, prepaid call, and authentication text-to-speech (TTS) services.",Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
032830 KS,SAMSUNG LIFE INSURANCE CO LT,"Samsung Life Insurance Co., Ltd. provides insurance services. The Company offers life and health insurance services. Samsung Life Insurance serves customers in South Korea.",Financials,Insurance,Insurance,Life & Health Insurance
033780 KS,KT&G CORP,"KT&G Corporation processes, produces, and sells cigarettes and other tobacco products. The Company, through its subsidiaries, manufactures ginseng products such as red ginseng tea and herbal medicines. KT&G is also involved in real estate development of its former factory sites.",Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
034020 KS,DOOSAN ENERBILITY CO LTD,"Doosan Enerbility Co., Ltd. manufactures and distributes construction machines. The Company produces gas turbines, engines, turbine generators, boilers, power plant equipment, and other related products. Doosan Enerbility also offers energy solutions for thermal power, nuclear power, and renewable energy.",Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
034220 KS,LG DISPLAY CO LTD,"LG Display Co., Ltd. develops and manufactures digital display products. The Company's products include thin film transistor-liquid crystal displays (TFT-LCD) for notebook and desktop computer monitors, TVs, mobile phones, and medical equipment.",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
034730 KS,SK INC,"SK Inc. operates as a holdings company that is engaged in various ind ustries including energy, chemicals, information technology, semiconductors, mar keting, and services businesses in South Korea and internationally.",Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
035250 KS,KANGWON LAND INC,"Kangwon Land, Inc. is a casino and hotel services provider located in the Kangwon province area of South Korea. The Company develops abandoned mines and builds gaming and entertainment facilities.  Kangwon Land operates a number of game tables and slot machines for domestic and international customers under its gaming licenses.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
035420 KS,NAVER CORP,"NAVER Corporation provides Internet site with web portal services, such as search engine, online game, and content development. The Company also offers online marketing service through banner advertisement and e-commerce services. NAVER serves customers worldwide.",Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
035720 KS,KAKAO CORP,"Kakao Corp. provides Internet portal services such as news, free e-mail, and leisure information.  The Company also offers cross-platform mobile messaging application that allows users to exchange messages.",Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
036460 KS,KOREA GAS CORPORATION,"Korea Gas Corporation manufactures, wholesales, and distributes liquefied natural gas (LNG) and liquefied petroleum gas (LPG) throughout South Korea. The Company also constructs and operates LNG receiving terminals and supplying networks for domestic distribution.  Korea Gas invests in LNG suppliers in Oman and Qatar.",Utilities,Utilities,Gas Utilities,Gas Utilities
036570 KS,NCSOFT CORP,"NCSoft Corporation develops and markets on-line games that enable users to play over the Internet and computer software, such as web editing software. The Company also designs and constructs databases, Intranet, and commercial Internet access systems.",Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
039130 KS,HANA TOUR SERVICE INC,"Hana Tour Service, Inc. wholesales a variety of travel related services. The Company provides outbound, inbound and domestic travel packages and cooperates with credit card companies and Internet shopping malls to market its services. Hana Tour Service also works as general sales agency (GSA) of overseas cruise and rail passes.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
039490 KS,KIWOOM SECURITIES CO LTD,"KIWOOM Securities Co., Ltd. is an online financial institution.  The Company offers equity and fixed income securities brokerage, dealing, and underwriting services.  Kiwoom Securities provides its services to individual investors.",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
042660 KS,HANWHA OCEAN CO LTD,"Hanwha Ocean Co., Ltd. operates as a shipbuilding and offshore company. The Company provides floating structure construction, steel wire drying, commercial vessels, specialty vessels, gas carrier, tanker, containership, ro ro, bulk carrier, submarine, warship, auxiliaries, cruise ships, and ferries manufacturing services. Hanwha Ocean also offers onshore plants services.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
042670 KS,HD HYUNDAI INFRACORE CO LTD,"HD Hyundai Infracore Co., Ltd. manufactures and distributes construction equipment. The Company produces diesel and gas engines, excavators, wheel loaders, articulated dump trucks, and other related products. HD Hyundai Infracore markets its products worldwide.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
047040 KS,DAEWOO ENGINEERING & CONSTR,"Daewoo Engineering & Construction Co., Ltd. is a general engineering constructor.  The Company's projects include architectural works, such as commercial buildings, public facilities, schools, hospitals, and civil works, such as highways, ports, tunnels, railways, and dams.  Daewoo Engineering & Construction also constructs power plants, and residential buildings.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
047050 KS,POSCO INTERNATIONAL CORP,"Posco International Corporation operates as a general trading company.  The Company exports and imports steel, cement, crude oil, heavy machinery, automobile parts, and textiles. Posco International also manufactures synthetic fabrics for footwear, garments, and car seats.",Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
047810 KS,KOREA AEROSPACE INDUSTRIES,"Korea Aerospace Industries, Ltd. designs and produces aircraft parts including fixed wings for aircrafts and rotary wings for helicopters. The Company also engages in aircraft upgrade and modification business, as well as satellite development services.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
051600 KS,KEPCO PLANT SERVICE & ENGINE,"KEPCO Plant Service & Engineering Co., Ltd. provides maintenance services for power plants and industrial plants.  The Company's main service areas are turbine maintenance, generator and motor maintenance, pump maintenance, and boiler maintenance.",Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services
051900 KS,LG H&H,"LG H&H Co., Ltd. manufactures and distributes cosmetics. The Company produces whoo, o hui, sum 37, basic cosmetics, color cosmetics, and other related products. LG H&H also produces toothpaste, soap, detergents, healthy, personal care, and refreshing products.",Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
051910 KS,LG CHEM LTD,"LG Chem Ltd. is a chemical manufacturer. The Company's products include petrochemicals, plastic resins, and engineering plastics. LG Chem also produces industrial and electronic materials.",Materials,Materials,Chemicals,Commodity Chemicals
052690 KS,KEPCO ENGINEERING & CONSTRUC,"KEPCO Engineering & Construction Company, Inc. designs nuclear and conventionally-fueled electricity generating plants.  The Company also provides power plant engineering services and consulting services to power industry.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
055550 KS,SHINHAN FINANCIAL GROUP LTD,"Shinhan Financial Group Co., Ltd., a holding company, provides a full range of consumer and commercial banking-related financial services. The Company main businesses include banking, securities brokerage, trust banking, and assets management to individuals, businesses, and other financial institutions.",Financials,Banks,Banks,Diversified Banks
057050 KS,HYUNDAI HOME SHOPPING NETWOR,"Hyundai Home Shopping Network Corporation  mechandises consumer products. The Company's products include clothes, home appliances, food, and luxuries. Hyundai Home Shopping retails through TV home shoppoing channels, catalogs, and the Inte rnet shopping mall.",Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
064350 KS,HYUNDAI ROTEM COMPANY,"Hyundai Rotem Company Ltd. manufactures railroad equipment and defense vehicles. The Company produces high-speed trains, light rail vehicles, locomotives, and passenger coaches, main battle tanks, armored recovery vehicles, and related defense equipment. Hyundai Rotem operates worldwide.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
066570 KS,LG ELECTRONICS INC,"LG Electronics Inc. manufactures and markets digital display equipment and home appliances. The Company produces and markets flat panel televisions, A/V products, washing machines, air conditioners and refrigerators as well as telecommunications equipment such as smart phones and tablets.",Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
068270 KS,CELLTRION INC,"Celltrion, Inc. produces and sells biosimilar products, as well as consignment processing services for other businesses.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
069260 KS,TKG HUCHEMS,"TKG Huchems Co.,Ltd. operates as a fine chemical company. The Company manufactures and distributes nitric acid, ammonium nitrate, dinitro toluene, and other related fine chemical core materials. TKG Huchems markets its products worldwide.",Materials,Materials,Chemicals,Specialty Chemicals
069620 KS,DAEWOONG PHARMACEUTICAL CO,"Daewoong Pharmaceutical Co., Ltd. develops various kinds of medical drugs and vitamin supplements.  The Company's medical drugs are used in areas, such as cardiology, dermatology, anti-biotic, and many other medical areas.  Dae Woong's over-the-counter products include smoking deterrents, vitamins, and minerals.",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
069960 KS,HYUNDAI DEPT STORE CO,"Hyundai Department Store Co.,Ltd. operates department stores under the name of Hyundai Department over nationwide. The Company also produces home shopping programs for cable channels and sells merchandise through home shopping programs.",Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
071050 KS,KOREA INVESTMENT HOLDINGS CO,"Korea Investment Holdings Co., Ltd. is a financial holding company. The Company operates and controls its financial subsidiaries such as Korea Investment & Securities, Korea Investment Partners, and Korea Investment Mutual Savings Bank.",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
073240 KS,KUMHO TIRE CO INC,"Kumho Tire Co., Inc. designs and produces tires.  The Company's main products include various automobile tires and tubes used in sedan, SUV, RV, truck, and bus.  Kumho Tire also provides racing tires.",Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber
078930 KS,GS HOLDINGS,GS Holdings Corp. is a holding company which operates subsidiaries in various business areas.,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
079550 KS,LIG NEX1 CO LTD,"LIG Nex1 Co., Ltd. manufactures military and defense weapon systems.  The Company develops missiles, radio equipment, torpedoes, radar equipment, and other defense products.  LIG Nex1 produces weapons for the global defense industry and operates throughout South Korea.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
081660 KS,FILA HOLDINGS CORP,"Fila Holdings Corp. designs and markets sports goods. The Company distributes and wholesales sports apparel, footwear, and accessories products. Fila Holdings markets its products worldwide.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
086280 KS,HYUNDAI GLOVIS CO LTD,"Hyundai Glovis Co., Ltd. provides domestic and international logistic services. The Company's services include domestic transportation, storage, packaging, vehicle logistic, and logistic consulting. Hyundai Glovis also runs automobile auction market for used vehicle.",Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
086790 KS,HANA FINANCIAL GROUP,"Hana Financial Group Inc., in accordance with Financial Holding Companies Act, was established on December 1, 2005, through stock transfer with the former shareholders of its subsidiaries in order to provide management services and financing to associated companies.",Financials,Banks,Banks,Diversified Banks
088350 KS,HANWHA LIFE INSURANCE CO LTD,"Hanwha Life Insurance Co., Ltd. offers life insurance services and reinsurance services. The Company also operates property and casualty insurance, beverages business, real estate rental, and securities investment business through its subsidiaries. Hanwha Life Insurance serves customers in South Korea.",Financials,Insurance,Insurance,Life & Health Insurance
090430 KS,AMOREPACIFIC CORP,"Amorepacific Corporation develops, manufactures, and exports skin care, make-up, and fragrance products. The Company also produces and markets personal care and health-related products, such as shampoos, soaps, toothpastes, and health teas. Amorepacific markets its products worldwide.",Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
093370 KS,FOOSUNG CO LTD,"Foosung Co., Ltd. manufactures and sells chemical compounds and also car accessories such as car mats.",Materials,Materials,Chemicals,Commodity Chemicals
096770 KS,SK INNOVATION CO LTD,"SK Innovation Co., Ltd. refines, markets, and distributes oil. The Company produces gasoline, kerosene, liquefied petroleum gas, and diesel oil, as well as manufactures petrochemical products, including paraxylene, synthetic resins, styrene monomer, and ethylene. SK Innovation serves clients globally.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
097950 KS,CJ CHEILJEDANG CORP,"CJ CheilJedang Corporation manufactures processed food products. The Company's products include refined sugar, monosodium glutamate (MSG), condiment, wheat powder, flour, cooking oil, processed meats, and animal feed. CJ CheilJedang also manufactures pharmaceutical and household products.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
103140 KS,POONGSAN CORP,"Poongsan Corporation manufactures non-ferrous metal and defense-related products.  The Company also makes coin blanks, cans, stainless steel strips, lead frame alloys, tin plated strips, bars, and rods & wires.  It also produces precision products such as lead frames for semiconductors, machinery, and dies & gauges.",Materials,Materials,Metals & Mining,Diversified Metals & Mining
105560 KS,KB FINANCIAL GROUP INC,"KB Financial Group Inc. (the ""Company""), in accordance with Financial Holding Companies Act, was established on September 29, 2008, through stock transfer with the former shareholders of its subsidiaries including Kookmin Bank in order to provide management services and financing to associated companies. The headquarters are located at Seoul, Korea",Financials,Banks,Banks,Diversified Banks
105630 KS,HANSAE CO LTD,"Hansae Co., Ltd manufactures and exports apparels through Original Equipment Manufacturing methods.  The Company mainly distributes its garments to North America.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
111770 KS,YOUNGONE CORP,"Youngone Corporation sells and exports clothes, outdoor sports wear, shoes and bags using Original Equipment Manufacturer(OEM) located in Bangladesh, China, Vietnam and Thailand.  The company distributes products to global clothing and shoes companies. Youngone operates in Korea.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
112610 KS,CS WIND CORP,CS Wind Corp. manufactures and exports wind towers and aluminum wind tower platforms.,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
114090 KS,GRAND KOREA LEISURE CO LTD,"Grand Korea Leisure Co., Ltd. operates casino business.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
120110 KS,KOLON INDUSTRIES INC,"Kolon Industries Inc. manufactures a variety of chemical fibers and textiles such as nylon yarns and fabrics, chamude, tire cord fabrics, and air bag fabrics.  The Company also produces films and media materials including polyester films, nylon films, and audio/video tapes.  In addition, Kolon makes engineering plastic products.",Materials,Materials,Chemicals,Commodity Chemicals
128940 KS,HANMI PHARM CO LTD,"Hanmi Pharm. Company Ltd. produces pharmaceutical products, including antibiotics, vitamins, and intestinal tonics.  The Company also provides beverages and processes soft capsules for other pharmaceutical firms.",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
137310 KS,SD BIOSENSOR INC,"SD Biosensor, INC. operates medical device manufacturing businesses. The Company produces electric medical instruments and other products. SD Biosensor conducts businesses across worldwide.",Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
138040 KS,MERITZ FINANCIAL GROUP INC,"Meritz Financial Group Inc is a holding company of Meritz Securities, Meritz Asset Management, Meritz Financial Information Service and et cetera. The Company manages and controls its financial subsidiaries.",Financials,Financial Services,Financial Services,Diversified Financial Services
138930 KS,BNK FINANCIAL GROUP INC,"BNK Financial Group Inc. a holding company, provides a full range of consumer and commercial banking-related financial services. The Company's main businesses include banking, trust banking, and assets management to individuals, businesses, and other financial institutions.",Financials,Banks,Banks,Regional Banks
139130 KS,DGB FINANCIAL GROUP INC,"DGB Financial Group Inc., a financial holding company, provides a full range of consumer and commercial banking-related financial services.  The Company operates and controls its financial subsidiaries such as Daegu Bank, Daegu Credit Information, and DBG Capital.",Financials,Banks,Banks,Regional Banks
139480 KS,E-MART INC,"E-MART Inc. operates discount stores. The Company retails food, clothing, household goods, electronics, and other items. E-MART serves customers through several branch stores in South Korea.",Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R
161390 KS,HANKOOK TIRE & TECHNOLOGY CO,"Hankook Tire & Technology Co., Ltd. manufactures and distributes tire and tube products. The Company produces passenger car tires, electric car tires, sport utility vehicle tires, and other related products. Hankook Tire & Technology markets its products throughout South Korea.",Consumer Discretionary,Automobiles & Components,Automobile Components,Tires & Rubber
161890 KS,KOLMAR KOREA CO LTD,"Kolmar Korea Co., Ltd. manufactures and distributes personal care products. The Company produces cosmetics. Kolmar Korea also produces medicine and healthcare products.",Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
175330 KS,JB FINANCIAL GROUP CO LTD,"JB Financial Group Co. Ltd., a holding company, provides a full range of consumer and commercial banking-related financial services. The company also offers auto installment finance, lease finance, housing installment loans, mortgage loans,  and personal loans, as well as asset management services for energy and resources fund markets.",Financials,Banks,Banks,Diversified Banks
178920 KS,PI ADVANCED MATERIALS CO LTD,"PI Advanced Materials Co., Ltd. manufactures and sells plastics films. The Company produces and sells polyimide films and other products. PI Advanced Materials conducts businesses in South Korea.",Materials,Materials,Chemicals,Commodity Chemicals
180640 KS,HANJIN KAL CORP,"Hanjin Kal Corporation is a holding company. The Company, through its subsidiaries, engages in airline, hotel, and travel related services. Hanjin also invests in real estates.",Industrials,Transportation,Passenger Airlines,Passenger Airlines
185750 KS,CHONG KUN DANG PHARMACEUTICA,"Chong Kun Dang Pharmaceutical Corp. manufactures pharmaceutical products.  The Company produces medical drugs in the fields of systemic anti-infective, cardiovascular system, alimentary tract, metabolism, and sensory organs.",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
192080 KS,DOUBLEUGAMES CO LTD,"DoubleUGames Co., Ltd. develops and markets online games and mobile games.  The Company mainly develops social casino games including DoubleU Casino and DoubleU Bingo.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
192820 KS,COSMAX INC,"Cosmax, Inc. is a cosmetics manufacturer. The Company develops and produces a variety of cosmetics for men and women, such as basic and special skin care, makeup, hair care, and other beauty products. Cosmax manufactures its products on original equipment manufacturing (OEM) basis.",Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
204320 KS,HL MANDO CO LTD,"HL Mando Co.,Ltd manufactures and distributes automobile parts. The Company produces hydrogen fuel cell converters, radar, cameras, lidars, and other related products. HL Mando also offers autonomous driving, vehicle predictive maintenance and diagnosis, and cloud based data services.",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
207940 KS,SAMSUNG BIOLOGICS CO LTD,"Samsung Biologics Co.,Ltd. manufactures bio-healthcare products. The Company develops, refines, and distributes biopharmaceutical products.",Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
241560 KS,DOOSAN BOBCAT INC,"Doosan Bobcat Inc. manufactures construction equipment. The Company offers loaders, excavators, compressors, drill modules, generators, and other equipment. Doosan Bobcat also manufactures construction machinery.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
241590 KS,HWASEUNG ENTERPRISE CO LTD,"Hwaseung Enterprise Co., Ltd. manufactures athletic shoes through Original Development Manufacturing(ODM) and Original Equipment Manufacturing(OEM). The Company supplies its products to Adidas and Reebok.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear
251270 KS,NETMARBLE CORP,"Netmarble Corporation develops and publishes mobile games. The Company develops and publishes casual games, action, sports games, strategy, simulation games, and social casino games. Netmarble offers services worldwide.",Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
259960 KS,KRAFTON INC,"Krafton, Inc. operates as a game development company. The Company develops console games, mobile games, computer games, and other related products. Krafton markets its products throughout South Korea.",Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
267250 KS,HD HYUNDAI,"HD Hyundai Co.,Ltd. operates as a oil refining company. The Company provides crude oil refining, petroleum refinery, and other related products. HD Hyundai markets its products worldwide.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
271560 KS,ORION CORP/REPUBLIC OF KOREA,"Orion Corp. of Republic of Korea manufactures and distributes snacks and beverages. The Company offers biscuits, candy, jelly, gum, chocolates, pie, and other products. Orion also engages in movie production and investments.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
271940 KS,ILJIN HYSOLUS CO LTD,"Iljin Hysolus Co., Ltd. operates environmental problem solving businesses. The Company provides hydrogen solutions, CNG solutions, diesel solutions, and other services. Iljin Hysolus conducts businesses in South Korea.",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
272210 KS,HANWHA SYSTEMS CO LTD,"Hanwha Systems Co., Ltd. designs, develops, and distributes high-tech systems for the defense industry. The Company manufactures tactical communication systems, radar systems, naval combat systems, electro-optics, and fire control systems. Hanwha Systems markets its products throughout South Korea.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
280360 KS,LOTTE WELLFOOD CO LTD,"Lotte Wellfood Co.,Ltd. operates as a snack food and confectionery manufacturing company. The Company produces frozen confectioneries, ham, sweets, and other related products. Lotte Wellfood also offers ice cream, edible fats and oils, meat and milk processing services.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
282330 KS,BGF RETAIL CO LTD,"BGF Retail Co., Ltd. operates convenience stores. The Company retails delicatessen, sweets, snacks, beverages, tobacco, and other related products. BGF Retail markets its products throughout South Korea.",Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
284740 KS,CUCKOO HOMESYS CO LTD,"Cuckoo Homesys Co. Ltd. manufactures kitchen appliances. The Company produces and sells electric pressure cookers, dishwashers, blenders, water purifiers, and other products. Cuckoo Homesys also provides kitchen appliances exporting services. Cuckoo Homesys markets its products worldwide.",Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail
285130 KS,SK CHEMICALS CO LTD,"SK Chemicals Co.,Ltd manufactures environmentally friendly materials. The Company produces and sells composites, high-performance materials, energy saving materials, and other products. SK Chemicals also offers total healthcare solutions services. SK Chemicals serves customers worldwide.",Materials,Materials,Chemicals,Commodity Chemicals
294870 KS,HDC HYUNDAI DEVELOPMENT CO-E,"HDC Hyundai Development Co-Engineering & Construction offers construction services. The Company builds factories, office and retail buildings, hotels, and warehouses. HDC Hyundai Development Co-Engineering & Construction provides its services throughout Korea.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
298020 KS,HYOSUNG TNC CORP,"Hyosung TNC Corp manufactures and distributes fiber products. The Company   prod uces nylon, polyester yarns, fabrics, and other related products. Hyosung   TNC also trades steel and chemicals.",Materials,Materials,Chemicals,Commodity Chemicals
298050 KS,HYOSUNG ADVANCED MATERIALS C,"Hyosung Advanced Materials Corporation operates as an advanced materials production company. The Company manufactures and sells high-strength industrial yarns, fabric, steel wire materials, and other products. Hyosung Advanced Materials markets its products worldwide.",Materials,Materials,Chemicals,Commodity Chemicals
300720 KS,HANIL CEMENT CO LTD/NEW,"Hanil Cement Co.,Ltd. operates as a cement manufacturing company. The Company produces and sells cement, special cement, ready mixed concrete products, high solidity admixture, and other products. Hanil Cement markets its products throughout South Korea.",Materials,Materials,Construction Materials,Construction Materials
302440 KS,SK BIOSCIENCE CO LTD,"SK Bioscience Co.,Ltd. operates biopharmaceutical businesses. The Company produces vaccines, sky cellflu prefilled syringes, sky cellflu quadrivalent prefilled syringes, varicella drugs, and other related products. SK Bioscience markets its products throughout South Korea.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
316140 KS,WOORI FINANCIAL GROUP INC,"Woori Financial Group Inc. provides commercial banking services. The Company offers deposit services, loan services, bill services, settlement services, credit card, international, online banking, and other related services. Woori Financial Group also operates banking and retail banking businesses.",Financials,Banks,Banks,Diversified Banks
323410 KS,KAKAOBANK CORP,"KakaoBank Corp. operates bank businesses. The Company provides deposit money, withdraw money, credit cards, stock accounts, linked loans, and other services. KakaoBank conducts businesses in South Korea.",Financials,Banks,Banks,Diversified Banks
326030 KS,SK BIOPHARMACEUTICALS CO LTD,"SK Biopharmaceuticals Co., Ltd. researches and develops new drugs. The Company develops and markets brain disorders treatment drugs, central nervous system disorders treatment drugs, and other products. SK Biopharmaceuticals markets its products worldwide.",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
329180 KS,HD HYUNDAI HEAVY INDUSTRIES,"HD Hyundai Heavy Industries Co., Ltd. operates as a shipbuilding company. The Company provides naval shipbuilding, industrial shipbuilding, crude oil tanker, bulk carrier, container carrier, and other related services. HD Hyundai Heavy Industries also offers offshore and engineering, engine and machinery, offshore, industrial, and marine plant services.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
336260 KS,DOOSAN FUEL CELL CO LTD,Doosan Fuel Cell Co. Ltd. produces and sells cell products. The Company develops and sells residential used compact fuel cells and other products. Doosan Fuel Cell markets its products worldwide.,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
